OrderID,OrderDate,Region,Category,Product,Salesperson,UnitsSold,UnitPrice,Revenue,CustomerEmail,Year,Month,MonthName
7001,2026-02-18,South,Electronics,Sofa,Meera Iyer,4,15281.66,61126.64,meera.iyer@example.com,2026,2,Feb
7002,2026-03-08,West,Apparel,Sofa,Rohan Gupta,6,49428.36,296570.16,rohan.gupta@example.com,2026,3,Mar
7003,2025-03-31,South,Furniture,Jeans,Aditi Rao,5,33698.14,168490.7,aditi.rao@example.com,2025,3,Mar
7004,2025-05-13,Unknown,Home & Kitchen,Unknown,Karan Malhotra,10,55528.39,555283.9,karan.malhotra@example.com,2025,5,May
7005,2026-03-12,East,Electronics,Headphones,Sana Khan,10,837.24,8372.4,sana.khan@example.com,2026,3,Mar
7006,2026-02-18,West,Home & Kitchen,Headphones,Arjun Nair,8,55370.86,442966.88,arjun.nair@example.com,2026,2,Feb
7007,2025-07-01,South,Electronics,Office Chair,Unknown,6,46348.75,278092.5,Not Provided,2025,7,Jul
7008,2026-08-23,West,Electronics,T-Shirt,Rohan Gupta,7,24246.5,169725.5,rohan.gupta@example.com,2026,8,Aug
7009,2026-02-13,West,Apparel,Office Chair,Sana Khan,4,39375.0,157500.56,sana.khan@example.com,2026,2,Feb
7010,2026-03-25,West,Electronics,Blender,Priya Menon,5,4646.0,23228.8,priya.menon@example.com,2026,3,Mar
7011,2026-02-24,East,Home & Kitchen,Sofa,Meera Iyer,,23048.04,,meera.iyer@example.com,2026,2,Feb
7012,2025-10-30,West,Electronics,Sneakers,Meera Iyer,,39601.41,,meera.iyer@example.com,2025,10,Oct
7013,2026-06-29,North,Electronics,Cookware Set,Sana Khan,3,30911.0,92734.2,sana.khan@example.com,2026,6,Jun
7014,2025-10-22,North,Home & Kitchen,Laptop,Vikram Shah,,4996.0,,vikram.shah@example.com,2025,10,Oct
7015,2025-07-18,West,Electronics,Jeans,Priya Menon,3,16255.71,48767.13,priya.menon@example.com,2025,7,Jul
7016,2026-01-04,South,Electronics,Desk,Karan Malhotra,10,50738.58,507385.8,karan.malhotra@example.com,2026,1,Jan
7017,2026-06-29,North,Apparel,Cookware Set,Aditi Rao,2,20119.91,40239.82,aditi.rao@example.com,2026,6,Jun
7018,2025-09-25,North,Electronics,Sofa,Aditi Rao,7,2650.0,18553.01,aditi.rao@example.com,2025,9,Sep
7019,2025-04-30,South,Electronics,Desk,Sana Khan,6,4703.4,28220.4,sana.khan@example.com,2025,4,Apr
7020,2025-05-09,West,Electronics,Headphones,Unknown,2,2469.0,4937.02,Not Provided,2025,5,May
7021,2025-06-14,South,Home & Kitchen,Laptop,Arjun Nair,7,11685.42,81797.94,arjun.nair@example.com,2025,6,Jun
7022,2025-08-30,East,Apparel,Tablet,Vikram Shah,3,52588.0,157764.78,vikram.shah@example.com,2025,8,Aug
7023,2025-05-16,North,Furniture,Cookware Set,Sana Khan,5,7854.0,39272.45,sana.khan@example.com,2025,5,May
7024,2026-01-21,West,Furniture,Sofa,Rohan Gupta,9,9469.0,85225.14,rohan.gupta@example.com,2026,1,Jan
7025,2026-06-21,South,Electronics,Office Chair,Rohan Gupta,5,10248.21,51241.05,rohan.gupta@example.com,2026,6,Jun
7026,2025-09-18,North,Apparel,Jeans,Meera Iyer,,55993.73,,meera.iyer@example.com,2025,9,Sep
7027,2025-04-04,South,Apparel,Headphones,Rohan Gupta,10,29336.08,293360.8,rohan.gupta@example.com,2025,4,Apr
7028,2025-09-20,North,Home & Kitchen,Cookware Set,Unknown,9,5096.3,45866.7,Not Provided,2025,9,Sep
7029,2025-12-09,South,Electronics,Smartphone,Aditi Rao,,26487.0,,aditi.rao@example.com,2025,12,Dec
7030,2025-10-30,North,Home & Kitchen,T-Shirt,Vikram Shah,3,21002.0,63005.58,vikram.shah@example.com,2025,10,Oct
7031,2025-03-22,West,Home & Kitchen,Unknown,Aditi Rao,6,56511.08,339066.48,aditi.rao@example.com,2025,3,Mar
7032,2025-09-20,West,Electronics,Sneakers,Aditi Rao,7,7281.0,50965.95,aditi.rao@example.com,2025,9,Sep
7033,2025-01-12,West,Furniture,Smartphone,Sana Khan,9,14987.0,134880.84,sana.khan@example.com,2025,1,Jan
7034,2026-03-29,East,Apparel,Cookware Set,Aditi Rao,10,44750.43,447504.3,aditi.rao@example.com,2026,3,Mar
7035,2025-11-25,East,Electronics,Sofa,Unknown,2,55010.0,110020.18,Not Provided,2025,11,Nov
7036,2025-02-18,Unknown,Electronics,Sneakers,Meera Iyer,7,11946.17,83623.19,meera.iyer@example.com,2025,2,Feb
7037,2025-01-14,South,Home & Kitchen,Desk,Meera Iyer,3,49227.7,147683.1,meera.iyer@example.com,2025,1,Jan
7038,2025-03-21,South,Apparel,Desk,Sana Khan,3,,,sana.khan@example.com,2025,3,Mar
7039,2026-05-11,North,Home & Kitchen,Cookware Set,Sana Khan,8,15511.0,124086.56,sana.khan@example.com,2026,5,May
7040,2025-12-30,East,Apparel,Smartphone,Rohan Gupta,9,,,rohan.gupta@example.com,2025,12,Dec
7041,2025-04-01,South,Apparel,Smartphone,Vikram Shah,1,12109.0,12108.6,vikram.shah@example.com,2025,4,Apr
7042,2025-07-14,North,Apparel,Smartphone,Arjun Nair,1,57959.81,57959.81,arjun.nair@example.com,2025,7,Jul
7043,2025-12-23,North,Electronics,Tablet,Arjun Nair,9,56621.76,509595.84,arjun.nair@example.com,2025,12,Dec
7044,2026-07-01,South,Electronics,Laptop,Arjun Nair,,8135.0,,arjun.nair@example.com,2026,7,Jul
7045,2026-07-17,South,Electronics,Sneakers,Arjun Nair,7,12320.45,86243.15,arjun.nair@example.com,2026,7,Jul
